,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_heartrate,max_heartrate,elev_high,elev_low,upload_id_str,average_cadence
0,2,Evening Run,10000.0,4200,4200,0.0,Run,Run,,12842785334,2024-11-07T07:42:40Z,2024-11-07T07:42:40Z,(GMT+00:00) GMT,0.0,,,,0,0,0,1,0,False,False,True,True,only_me,False,g16756291,[],[],2.381,0.0,False,False,False,,,False,0,0,False,94091899,1,a12842785334,,2,,,,,,
1,2,Afternoon Golf,4551.3,3154,3154,59.8,Golf,Golf,,12779237671,2024-10-30T06:57:17Z,2024-10-30T17:57:17Z,(GMT+10:00) Australia/Sydney,39600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[-33.950781, 151.109438]","[-33.940576, 151.103744]",1.443,16.06,True,False,True,13626028481.0,B6FEDC57-623F-4FA2-8FFD-53FC4A27E264-activity.fit,False,0,0,False,94091899,1,a12779237671,`{enEoehy[MDGY@ECLH?@BLFABAABDD?ACHDEBB?ACBBKG?B?GZi@Pg@PUH[\_@HEFOD]VQBBFCFARBRE?@?CBBBAC@B?A@?CEHAGB@BEG[BO@aABOAIBYH_@@@C?B@GMEAEFACHAG@@@@EFDDPDFCCBAHN@NJFHNCBF@EB@BAE@@C?AECD@ED@Bj@FZBTAJBJ?NBNCNBLAFBAE@?@DPDZCACOIK?AB?AEBDAG@GIJEAADQBOFIC_@B_@XC`@BFCJB?GAA@AA@D?AB?A@?E@?AD?A@?AC?@@BXNNd@\p@@LFH?LHN@HNTH`@BDH@BABDB??B@EC?@D?G@BC??B@BCE@B?AB?CAAF@@AC?B?CAB@BACBBAC?BAADADICBCGA?@?@NHZ?JFHJh@HV@NDFFf@ARBTBDAHB@C?@BAC@?GH?@@?CCB??BCFPEKL?FCIBU?BCA@CBAACT^HBDL@CPf@C@?BCASa@?@EEBAE@GCFCPBC?AHDh@Gn@CLMBUPO?CB?ZCVB?AE@@@AGADBCc@@O^SBELCVF@A@CLEZEH@JEF?@KBCC?FJ@AEA?B?@DECc@BIAMD@ANB?Ri@RSFD@EE?ABDB?E@@A?A@CCDF@AUGc@o@M]Wc@Uk@c@{@Qg@CBH?GCCGBBCA@BBCCD?EHFGAA@F?C?ECACMGKSc@]CKSYSi@QWQc@@EEEBEC?@C@@ACBBB?CC@DCA?BL]@QIDMGG?@GADEEL@KACC@MC@@FAB@AMIE?EEKQK@EDC?GJBPHJ@HKNC?EHH\BDF?EDB@C@BEEFB?GIKU@BCBO?CB?D]X{@^ODI?MJICMFGA@?CCBCABBAABAC@A?B@A?DCCB@A@?EAHORMBGEDN?EC@@@BMKDYEGB?FBBDN@\IB@DIA?HWLOLCEE??C?BDE?@@GF?FFALAl@ERIFQFB?IDCHP~ACDGDq@DoQzBw@HwLzAQD]Jy@DgFn@,2,141.4,174.0,50.3,23.8,13626028481,
2,2,Afternoon Run,5000.0,1500,1500,0.0,Run,Run,2.0,12778500129,2024-10-30T03:26:04Z,2024-10-30T03:26:04Z,(GMT+00:00) GMT,0.0,,,,0,0,0,1,0,False,False,True,False,everyone,False,g16756291,[],[],3.333,0.0,False,False,False,,,False,0,0,False,94091899,1,a12778500129,,2,,,,,,
3,2,Nike Run Club: Tuesday Afternoon Run,2020.3,829,924,10.0,Run,Run,,12319191717,2024-09-03T06:10:33Z,2024-09-03T16:10:33Z,(GMT+10:00) Australia/Sydney,36000.0,,,,0,1,1,1,0,False,False,False,False,everyone,False,g16756291,"[-33.909643488004804, 151.1102865356952]","[-33.91483146697283, 151.1276289448142]",2.437,3.895,True,False,True,13133287074.0,c742c134-84c3-4538-9b02-2c19b1c918fb.fit,False,0,0,False,94091899,1,a12319191717,`c~mEqeiy[LQPMd@SPEv@]QOQG[_BGWc@w@[c@Qi@c@WKk@b@w@Tm@b@Sn@o@Vi@\aAt@gANONK|@{@Xa@PO\c@PQXe@PMRc@X?Zc@HYXc@zA_BJSFWDW?YHQJQPGf@GFSTe@Pe@Fm@KkCAeBCo@@Ws@gBi@o@G{BFm@No@l@q@NIHQGo@j@_DRcEHs@,2,130.6,146.0,10.2,1.2,13133287074,79.0
4,2,Nike Run Club: Thursday Morning Run,2355.0,891,906,10.0,Run,Run,,12269555899,2024-08-29T01:24:59Z,2024-08-29T11:24:59Z,(GMT+10:00) Australia/Sydney,36000.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,g16756291,"[-33.90977659262717, 151.11045526340604]","[-33.90874360688031, 151.11066849902272]",2.643,3.582,True,False,True,13079626877.0,0a6d9a1b-109d-4aec-9bf4-b97c1449211c.fit,False,0,0,False,94091899,1,a12269555899,zc~mEefiy[r@]`@Ob@WKOUIg@mBISe@y@MOEUKSc@WIY@YHSn@qA[_@QISOS?QESMSIk@CU@e@A{@Xq@h@KNo@jAIX{A`D]x@e@v@Oj@w@fBi@t@a@\]b@QDc@Tu@ZgB^g@FQJy@NmAf@SDQHu@ZETf@lBf@xA`@|@BT^dATbAR?p@c@j@?PDt@e@d@OzAy@b@YJNDRRCPLd@rAR?POd@O,2,140.3,153.0,11.8,2.2,13079626877,81.2
5,2,Nike Run Club: Sunday Afternoon Run,15013.3,5885,5901,138.0,Run,Run,,12176217274,2024-08-18T05:52:01Z,2024-08-18T15:52:01Z,(GMT+10:00) Australia/Sydney,36000.0,,,,4,1,1,1,0,False,False,False,False,everyone,False,g16756291,"[-33.90971448272467, 151.1104678362608]","[-33.91506255604327, 151.1041648965329]",2.551,3.56,True,False,True,12980457318.0,c9d4a5d0-8b75-461b-a70e-73e656ea1649.fit,False,3,0,False,94091899,1,a12176217274,tc~mE_fiy[dCmAg@Sq@_Cq@mASk@_@WQk@|@cBGSOO{@c@iA[sAEkAb@gAtAm@vAo@hAwC~Gc@z@g@r@cAx@aBp@eE|@qBn@}Ar@g@HiBbAcBxB{@r@e@t@s@dCo@rAk@hBSHaACGRNPSL_AMQDg@N_Az@\~@NJd@GnCb@^ZXz@@nCLdACp@BxAXzAbAvCd@|@l@r@d@|@`@hDIl@k@v@El@_@`@e@XMn@AbAV~@?l@Nf@d@J\b@`ClFHn@A|BIp@_@~@u@nAg@pAiAxBs@fB]XITe@Ag@LTf@P@HRHhA@dAT`BAZGXm@f@Oj@y@bB}AxEOLCn@Qj@w@jAW~@{Ad@e@G{@RwAzAMPOl@EbAW~Ac@rAsBxBa@ZSCSHq@hA]\_@`DBzBNl@nAjBn@zCSp@ObAgBbCaApCcAtBKn@AjCETo@lAkBnCaBdBoC|@oB|@_CDmChA}A^y@Ee@F{Ag@{@Lg@ImBaAwBm@_@WWG{@y@_Gy@SHm@n@uAx@uC~CmA~@gAb@Sn@MPk@P_AD_Bd@k@Ge@ROj@y@xAEVwCbEQJ}@LkBbA{@`A[z@o@h@Sj@e@fGQxAEhAQHGj@ElAFPPFUEMQPsBRK\{EDgANaAJwAHWn@m@hAuB|BqAvA]zAkCl@o@|@gBX_A`@Q|@?z@]bCUh@kAx@[`@W|D_EvAw@|@_Ad@CbBXtBPd@T\^jAp@~Ab@jAn@z@Xb@Bh@M~Ah@|@If@JnAY`CoAbDMhAu@tBi@f@Sd@]d@u@bBsBnAuBFUEgBBq@xCuH|AwBX}@Fo@?m@]yAc@aAi@q@[_AGgA@m@HiALk@Bm@Xe@jAoAPMP@`@YbBwBn@cBZuBDu@`@{@zAqApAIPIPDv@YLk@LUd@u@^}@@YdBsFl@qAZc@@Uv@eAAq@W_B@eAIeA[[?WNOPCtB?LQx@K|Am@nDs@rEoAfBWRGJUPCHRPOlUoFB[T?PNR`BbEaAnAk@GSTGb@?xAw@jAc@x@WvA{@a@}@q@eCFQd@SBXLN~@~CRAlB}@CUPKNNbD_Bu@cCBm@OeAyAwEmAuENOx@[|@Jv@ThDzK@TTf@`@xAPSCUiBsFkBiG,2,152.6,165.0,39.0,2.4,12980457318,81.5
6,2,Nike Run Club: Power Pyramid,4730.8,1619,2322,61.0,Run,Run,,12106986087,2024-08-09T23:53:51Z,2024-08-10T09:53:51Z,(GMT+10:00) Australia/Sydney,36000.0,,,,4,0,0,1,0,False,False,False,False,everyone,False,g16756291,"[-33.90942480415106, 151.11124676652253]","[-33.917620461434126, 151.1044027749449]",2.922,4.448,True,False,True,12904777674.0,8d659e63-ccaa-44da-8ee9-7e548c193e62.fit,False,0,1,False,94091899,1,a12106986087,be~mEggiy[fAg@SMKQg@mBq@kAWi@OSQKISEUFSXg@Tk@RITCVc@PQXc@DWTe@v@gARQV_@lFgFMMEUvAwAXg@|@cANUDUDm@j@UTALOb@_AFkCOoFc@wAMQWg@Mk@Eu@FoAD[JQj@i@NU?eAn@kDTgENcBLs@@YFUNgAH{ARq@`BuBLm@E[Dy@BSXg@FS@m@AYE[_F}LiBaB_ACOO?[^e@NKd@K^a@NJ^`@`@\|AzAj@p@j@r@Xh@^~@VjALVPl@TbAHl@JVDXZf@DVDlAAVOl@W~AeBvDYf@a@XOPIV[bB?VUdDMdAKp@GfAEV@VLRO|A?l@OdBCp@GTCXJxCVh@KbBBV?VIr@^vA^\DRKRIl@[xAM`BeHnN@\Ht@@p@ZvACTKRDVv@`CDXJNPf@d@dB^z@j@bCf@vAFXTh@Zd@HP?ZLn@@VJRf@xAXbABXNRXdA^`AJn@d@`ADZX`A,2,155.2,180.0,36.6,2.2,12904777674,77.8
7,2,Nike Run Club: Friday Afternoon Run,4933.3,1851,1866,21.0,Run,Run,,12106801191,2024-08-09T06:48:15Z,2024-08-09T16:48:15Z,(GMT+10:00) Australia/Sydney,36000.0,,,,1,0,0,1,0,False,False,False,False,everyone,False,g16756291,"[-33.90975287184119, 151.11040513962507]","[-33.90992905944586, 151.11056841909885]",2.665,3.788,True,False,True,12904586351.0,9a3c5c9c-7ede-4fe4-b10d-18864e5375e8.fit,False,0,0,False,94091899,1,a12106801191,xc~mEgfiy[d@[TCv@]][CUW{@Mk@c@w@QQQg@MSa@YCYFSv@aBQMMQSGSOg@Ic@SeBEg@LQHq@h@s@dAq@~Ao@lAETMPyApDo@dASf@Yb@eAv@QJMNUH{@X{@NSHgB\oAd@yAb@QLw@RQH{Az@QL]d@Wf@MNcAz@[`@q@dBKh@oArCMj@IRSHS@QEU?SDSAe@EQEMQEUIq@DWDuCJmDDYJU~@Fd@ApDXf@A|@HPHNSLKr@kA\]jBaAf@GRMlC{@v@]x@Uh@G|@Gf@Ov@[pAcAj@o@lA{BFWTg@f@sAtA}C\e@Ri@`@y@^_@d@Yv@STA|@Hf@Rh@LRBPL\\FVMNYb@Uf@AZHRTDTLNn@NPl@pABTZdADTPHRFQFQPg@X,2,143.2,155.0,13.8,2.2,12904586351,80.2
8,2,Nike Run Club: The Shifter,3267.0,1140,1690,21.0,Run,Run,,12032618749,2024-07-31T06:53:32Z,2024-07-31T16:53:32Z,(GMT+10:00) Australia/Sydney,36000.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,g16756291,"[-33.90962261706591, 151.11041402444243]","[-33.91048377379775, 151.11273530870676]",2.866,4.754,True,False,True,12826996592.0,4ce2b5e3-1b9a-4206-a1c6-b2d898cd402c.fit,False,0,1,False,94091899,1,a12032618749,dc~mEueiy[r@c@fAe@RKSKOMc@kBUg@[e@QOEWGSa@YOi@JSPg@`@u@R@TIDULQNKHStCoEb@]f@q@PKnAgAn@m@DWNKJQFWv@eAl@m@Z]?WLk@@WHQ^WT?Zc@Z_AF]?YG_CCeBGiAUo@Oq@OOWoFRS\e@Xe@CUHiAf@uB@s@PoDJcAPaAHSLm@PsCPGPHT@PFRDb@NTD@TWPKNQh@UbB?TGXOzCa@nI?ZQdBAjAGR@hAHdBNFFROr@ATBlAATER^zANPRJ?XIR]`Bc@dEYdA]`AYh@gDlONj@Zn@@XkBt@mAp@i@TcCtA,2,148.0,174.0,10.8,1.8,12826996592,82.1
9,2,Nike Run Club: The Shifter,734.7,292,300,1.0,Run,Run,,12014288336,2024-07-29T23:41:22Z,2024-07-30T09:41:22Z,(GMT+10:00) Australia/Sydney,36000.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,g16756291,[],[],2.516,3.698,True,False,True,12807964149.0,79ccc13f-cf25-409f-b6b4-3a65b2235b76.fit,False,0,1,False,94091899,1,a12014288336,,2,161.7,169.0,10.4,1.8,12807964149,80.1
10,2,Nike Run Club: Monday Morning Run,2347.7,917,917,8.0,Run,Run,,12007157788,2024-07-29T00:57:38Z,2024-07-29T10:57:38Z,(GMT+10:00) Australia/Sydney,36000.0,,,,1,0,0,1,0,False,False,False,False,everyone,False,g16756291,"[-33.909526308998466, 151.1106789764017]","[-33.90748732723296, 151.11354533582926]",2.56,3.47,True,False,True,12800570830.0,e73862ee-084b-4b38-97cc-c1c3658cc400.fit,False,0,0,False,94091899,1,a12007157788,`d~mEgfiy[nAg@^UISQIi@qB_@w@KOQOOi@c@[ISCU\_AZg@ISQMKSSI{@QQIw@I{@?SFu@`@k@r@W`@Ul@Wb@Of@MPa@~@cArBGRm@nASj@Uf@]b@m@j@a@Xe@Ty@\kFhAQJc@L{@Zy@^y@Tq@b@e@RQLMPq@lAa@ZLWX_@HQZi@PQLMf@UbAo@z@OPOf@Ib@Ux@Wv@]f@I|@Sf@APEx@WNI,2,140.0,157.0,10.4,2.4,12800570830,81.3
